ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.046876, -0.108402, 1.029572, 0.011963, 0.783715, -0.615985, 0.169927, 1.001495, 0.028809, 0.080081, -0.528825, 0.813745,  --- 663.728
0.031251, -0.101321, 1.032258, -0.003906, 0.780297, -0.617694, -0.002197, 0.999298, 0.031983, 0.078127, -0.532487, 0.816919,  --- 666.732
0.048097, -0.105228, 1.031037, 0.015137, 0.784447, -0.609149, 0.171636, 1.005890, 0.023438, 0.086917, -0.527848, 0.819605,  --- 669.729
0.046876, -0.113285, 1.032990, 0.010987, 0.782983, -0.609149, 0.172613, 0.996368, 0.033692, 0.081057, -0.531022, 0.812769,  --- 673.725
0.046876, -0.125004, 1.032746, 0.013672, 0.783471, -0.619648, 0.171880, 1.001739, 0.029786, 0.078127, -0.532487, 0.814478,  --- 676.727
0.047121, -0.104007, 1.036408, 0.013916, 0.785424, -0.612811, 0.167730, 1.001739, 0.034669, 0.087893, -0.532975, 0.812036,  --- 680.726
0.049562, -0.105716, 1.029816, -0.003418, 0.781762, -0.610614, 0.004395, 0.995147, 0.034181, 0.081057, -0.534196, 0.817407,  --- 683.727
0.048585, -0.108402, 1.034699, 0.000000, 0.782250, -0.619159, 0.176031, 1.000274, 0.036622, 0.082766, -0.526139, 0.818140,  --- 687.733
0.046876, -0.104984, 1.033478, 0.012207, 0.784447, -0.616474, 0.156255, 1.000274, 0.022217, 0.080081, -0.531266, 0.816675,  --- 690.726
0.050783, -0.109622, 1.030060, 0.000000, 0.786401, -0.610370, 0.171880, 1.001007, 0.027345, 0.078127, -0.531998, -0.005860,  --- 694.726
0.031251, -0.110111, 1.032258, 0.015625, 0.781762, -0.614765, 0.156255, 0.994659, 0.025880, 0.078127, -0.531022, 0.821070,  --- 697.728
0.048585, -0.107669, 1.032990, 0.011231, 0.782006, -0.618183, 0.172124, 0.996856, 0.028321, 0.078127, -0.529557, 0.818872,  --- 701.726
0.051515, -0.111331, 1.035920, 0.015381, 0.782250, -0.618427, 0.156255, 0.998321, 0.018799, 0.078127, -0.531022, 0.821314,  --- 704.725
0.046876, -0.108158, 1.031281, 0.015381, 0.780297, -0.616718, 0.156255, 0.997833, 0.023438, 0.078127, -0.526627, 0.820093,  --- 708.728
0.046876, -0.110111, 1.041780, 0.014649, 0.784447, -0.622333, 0.000000, 1.002960, 0.028565, 0.078127, -0.530778, 0.823267,  --- 711.734
0.046632, -0.108158, 1.029084, 0.012207, 0.781029, -0.618915, 0.168706, 0.995636, 0.026856, -0.013916, -0.537858, 0.814722,  --- 715.727
0.046876, -0.109134, 1.033967, 0.012940, 0.785180, -0.613544, 0.171636, 1.003937, 0.027100, 0.078127, -0.530534, 0.822535,  --- 718.726
0.052980, -0.114505, 1.035920, 0.002686, 0.782983, -0.623310, 0.000000, 1.001739, 0.029786, 0.000732, -0.532243, 0.816675,  --- 721.726
0.046876, -0.111331, 1.032990, 0.011475, 0.775414, -0.613056, 0.164556, 1.002472, 0.021973, 0.074709, -0.536149, 0.826197,  --- 725.727
0.046876, -0.109378, 1.036652, 0.014893, 0.781274, -0.622333, 0.173345, 1.000030, 0.026368, 0.064455, -0.530534, 0.820337,  --- 727.725
0.051515, -0.115970, 1.036164, 0.016114, 0.781029, -0.625263, 0.171148, 1.003204, 0.027345, 0.075442, -0.531754, 0.824244,  --- 731.728
0.046876, -0.111087, 1.033967, 0.015625, 0.774193, -0.612323, 0.168950, 0.999054, 0.020753, 0.074953, -0.533463, 0.825953,  --- 735.727
0.044923, -0.116947, 1.030549, 0.016846, 0.781029, -0.628925, -0.001953, 0.999786, 0.022706, -0.003662, -0.529069, 0.818628,  --- 740.727
0.054689, -0.107181, 1.034211, -0.003174, 0.771752, -0.611102, -0.007813, 0.995880, 0.023927, 0.062502, -0.535661, 0.815210,  --- 744.729
0.046876, -0.116459, 1.031281, 0.018799, 0.785180, -0.621845, 0.170171, 1.002960, 0.032228, 0.078860, -0.528825, 0.815454,  --- 748.728
0.046876, -0.106937, 1.025177, 0.009278, 0.770531, -0.614032, 0.156255, 0.996368, 0.029298, 0.077883, -0.531266, 0.813257,  --- 752.728
0.046876, -0.118656, 1.033478, 0.014405, 0.777856, -0.619159, 0.156255, 0.998321, 0.028077, 0.076418, -0.527116, 0.817407,  --- 756.731
0.046876, -0.108158, 1.025666, 0.015625, 0.776879, -0.615741, 0.170904, 0.997833, 0.031983, 0.079836, -0.534196, 0.813745,  --- 760.729
0.048097, -0.113041, 1.038117, 0.018555, 0.784692, -0.618183, 0.166265, 1.004181, 0.006104, 0.076907, -0.531266, 0.012940,  --- 764.726
0.054445, -0.110599, 1.034211, 0.013428, 0.779809, -0.620136, 0.167241, 1.006378, 0.020264, 0.062502, -0.533707, 0.819116,  --- 768.727
0.056398, -0.112796, 1.029816, 0.002197, 0.784447, -0.625995, 0.156255, 1.001495, 0.023927, 0.076418, -0.529557, 0.819605,  --- 773.727
0.046876, -0.104251, 1.015167, 0.015625, 0.767113, -0.611591, 0.163335, 0.989776, 0.027833, 0.079836, -0.531022, 0.821558,  --- 777.729
0.046876, -0.109134, -0.014649, 0.008545, 0.781274, 0.000732, 0.173589, 1.009308, 0.023438, 0.075930, -0.532243, 0.817896,  --- 781.728
0.046876, -0.112308, 1.038117, 0.017090, 0.790551, -0.637226, 0.166021, 0.998565, 0.034181, 0.062502, -0.528580, 0.825464,  --- 784.729
0.050539, -0.105716, 1.013947, 0.015625, 0.757835, -0.590106, 0.171148, 0.983672, 0.032472, 0.074221, -0.542497, 0.825953,  --- 788.726
0.056642, -0.116459, 1.054475, 0.010254, 0.793481, -0.643574, 0.171880, 1.030305, 0.027100, 0.083254, -0.524186, 0.822535,  --- 791.727
0.049074, -0.093753, 1.013702, 0.019532, 0.782494, -0.608905, 0.152837, 0.981231, 0.041261, 0.079104, -0.531510, 0.823999,  --- 794.725
0.046388, -0.114750, 1.032746, 0.015625, 0.772728, -0.597918, 0.174322, 0.998321, 0.041749, 0.062502, -0.539811, 0.802270,  --- 798.730
0.046876, -0.102542, 1.011993, 0.010743, 0.758080, -0.598895, 0.165288, 1.000030, 0.022217, 0.086673, -0.522477, 0.829615,  --- 803.728
0.062502, -0.111820, 1.046174, -0.002930, 0.763451, -0.566912, 0.176275, 1.009552, 0.023438, 0.074465, -0.005127, 0.809595,  --- 806.728
0.031495, -0.120853, 1.044709, 0.026124, 0.796899, -0.684347, 0.165288, 0.984405, 0.061281, 0.077883, -0.531266, 0.815943,  --- 809.728
0.062502, -0.012696, 1.027619, 0.003418, -0.015625, -0.597430, 0.162114, -0.011475, 0.011231, 0.086184, -0.537614, 0.822290,  --- 813.726
0.046876, -0.109134, 1.017120, 0.014405, 0.755882, -0.562761, 0.173101, 0.995147, 0.041017, 0.062502, -0.529313, 0.806909,  --- 816.727
0.028077, -0.125980, 1.046662, 0.021973, 0.814966, -0.676046, 0.178228, 1.006134, 0.027589, 0.085452, -0.523453, 0.820581,  --- 819.726
0.074953, -0.088870, 1.025666, 0.002930, 0.766625, -0.579363, 0.166997, 0.999542, 0.016602, 0.082522, -0.542741, 0.812524,  --- 823.728
0.025391, -0.124271, 1.036896, 0.012452, 0.768822, -0.607684, 0.182379, 0.985137, 0.034669, 0.074709, -0.526139, 0.822779,  --- 827.729
0.046876, -0.106693, 1.028595, 0.010010, 0.779076, -0.635029, 0.156987, 0.998809, 0.023682, 0.078127, -0.551042, 0.823023,  --- 831.728
0.046876, -0.109622, 1.033723, 0.000000, 0.790063, -0.608905, 0.172613, 0.999542, 0.045900, 0.078127, 0.008789, 0.818384,  --- 835.727
0.046876, -0.114017, 1.040803, 0.031251, 0.793969, -0.597430, 0.168218, 1.012726, 0.020020, 0.067141, -0.000488, 0.803491,  --- 839.729
0.053224, -0.115238, 1.015656, 0.000000, 0.774437, -0.601581, 0.166997, 0.991973, 0.029298, 0.093020, -0.541032, 0.831812,  --- 843.726
0.046876, -0.120365, 1.042512, 0.010743, 0.788354, -0.653828, 0.168706, 1.008331, 0.017335, 0.062502, -0.522721, 0.803491,  --- 846.727
0.058596, -0.107913, 1.034943, 0.012696, 0.773949, -0.589373, 0.171880, 0.994171, 0.033448, 0.078127, -0.526871, 0.822046,  --- 850.727
0.031251, -0.113773, 1.033478, 0.018555, 0.788110, -0.640644, 0.159917, 1.012970, 0.018799, 0.078127, -0.542985, 0.821558,  --- 855.727
0.046876, -0.107425, 1.025666, 0.017579, 0.766869, -0.600116, 0.173589, 0.988555, 0.032472, 0.063234, -0.529801, 0.010010,  --- 859.729
0.044435, -0.117191, 1.034455, 0.000000, 0.785668, -0.627949, 0.165776, 1.013947, 0.017090, 0.087161, -0.539567, 0.824488,  --- 864.119
0.059084, -0.105472, 1.031281, 0.010498, 0.770043, -0.603290, 0.172613, 0.989532, 0.024903, 0.069338, -0.536637, 0.808862,  --- 868.111
0.031251, -0.117923, 1.032502, 0.022217, 0.789575, -0.630634, 0.010987, 1.007355, 0.025147, 0.012696, -0.530045, 0.820093,  --- 873.110
0.062258, -0.103275, 1.026886, 0.015137, 0.782983, -0.610370, 0.009278, 1.006622, 0.018067, 0.012696, -0.543718, 0.821070,  --- 877.113
0.045167, -0.116459, 1.028840, 0.015625, 0.774682, -0.625263, 0.175054, 0.990508, 0.037843, -0.009033, -0.518326, 0.838648,  --- 880.109
0.051271, -0.110599, 1.040803, 0.015625, 0.787133, -0.008789, 0.171819, 1.008331, 0.021729, 0.064455, -0.543229, 0.014405,  --- 885.109
0.054201, -0.108890, 1.027375, 0.010254, 0.778588, 0.007569, 0.167974, 0.998077, 0.026856, 0.093753, -0.528825, 0.013184,  --- 889.110
0.045900, -0.114994, 1.032990, 0.011475, 0.778832, -0.617206, 0.171880, 0.990997, 0.038331, 0.062502, -0.525651, 0.804468,  --- 892.108
0.054445, -0.105472, 1.036408, 0.000000, 0.781762, 0.014893, 0.171819, 1.011017, 0.017579, 0.084719, -0.540788, -0.013916,  --- 895.110
0.047853, -0.114017, 1.035432, 0.010254, 0.777856, -0.617450, 0.178960, 0.986846, 0.035890, 0.078127, -0.527848, 0.827906,  --- 900.110
0.048097, -0.109378, 1.030060, 0.015625, 0.782983, -0.624042, 0.012940, 1.004669, 0.026856, 0.062990, -0.528580, 0.806909,  --- 904.111
0.046876, -0.107669, 1.032746, 0.000000, 0.775414, -0.614276, 0.162847, 1.000518, 0.023438, 0.090091, -0.539079, 0.829127,  --- 908.110
0.031251, -0.112308, 1.040070, 0.015625, 0.790307, -0.621601, 0.171880, 1.000274, 0.027589, 0.061281, -0.524674, 0.803003,  --- 912.109
0.053713, -0.106449, 1.026154, 0.013184, 0.774437, -0.608173, 0.156255, 1.001739, 0.021485, 0.092532, -0.538590, 0.840602,  --- 917.110
0.046876, -0.106937, 1.026398, 0.015625, 0.787866, -0.614765, 0.171880, 1.002716, 0.028077, 0.067629, -0.528580, 0.012452,  --- 922.111
0.049318, -0.111331, 1.028840, 0.000000, 0.779076, -0.603778, 0.166509, 0.997100, 0.039308, 0.090091, -0.537370, 0.835474,  --- 927.110
0.046876, -0.109134, 1.035432, 0.015625, 0.778832, -0.625995, 0.168706, 1.001251, 0.027100, 0.062502, -0.529801, 0.806177,  --- 931.109
0.051027, -0.106449, 1.025422, 0.000000, 0.779076, -0.600604, 0.172124, 0.992706, 0.041017, 0.094729, -0.528336, 0.834986,  --- 936.116
0.051759, -0.111087, 1.037141, 0.000000, 0.785912, -0.622822, 0.156255, 1.002960, 0.022950, 0.062502, -0.531998, 0.807397,  --- 940.110
0.046876, -0.113041, 1.024445, 0.011231, 0.778344, -0.615985, 0.171880, 0.993438, 0.030518, 0.083499, -0.531266, 0.820337,  --- 946.112
0.054689, -0.107669, 1.029572, 0.012940, 0.784203, -0.616474, 0.165776, 1.005890, 0.021485, 0.075198, -0.537614, 0.804468,  --- 950.109
0.049562, -0.125004, 1.030060, 0.015870, 0.774682, -0.608173, 0.166265, 0.996124, 0.031251, 0.080813, -0.521988, 0.815943,  --- 955.109
0.046876, -0.111087, 1.036652, 0.018555, 0.782006, -0.610126, 0.161138, 1.002472, 0.023682, 0.072756, -0.538102, 0.814722,  --- 959.110
0.054933, -0.107425, 1.031525, 0.010743, 0.780053, -0.614276, 0.165532, 0.999542, 0.035401, 0.088382, -0.529069, 0.837428,  --- 963.111
0.046876, -0.109378, 1.032258, 0.000000, 0.783227, -0.624042, 0.168218, 1.000518, 0.019288, 0.064943, -0.535172, 0.803491,  --- 968.111
0.052248, -0.108402, 1.033478, 0.011475, 0.780053, -0.617694, 0.165776, 0.999786, 0.022462, 0.091555, -0.537614, 0.839625,  --- 973.109
0.052492, -0.111576, 1.036652, 0.010254, 0.780785, -0.619892, 0.171880, 1.000763, 0.029298, 0.062258, -0.532731, 0.808862,  --- 977.109
0.053468, -0.112552, 1.029084, 0.000000, 0.780297, -0.619159, -0.008789, 1.002716, 0.021973, 0.014405, -0.532731, 0.834986,  --- 982.108
0.053713, -0.112308, 1.029816, 0.016846, 0.780053, -0.616718, 0.171880, 1.000274, 0.030030, 0.063967, -0.531266, 0.786401,  --- 986.109
0.046876, -0.110599, 1.035432, 0.015625, 0.781518, -0.610614, 0.166265, 1.002716, 0.027345, 0.094241, -0.531754, 0.833521,  --- 991.110
0.050050, -0.113773, 1.028595, 0.014405, 0.782738, 0.005371, 0.171819, 1.000763, 0.021241, 0.062990, -0.530534, 0.806177,  --- 995.111
0.046876, -0.113529, 1.034211, 0.013184, 0.778832, -0.615253, 0.165288, 1.000763, 0.013916, 0.088137, -0.526383, -0.011475,  --- 999.113
0.046876, -0.114750, 1.031769, 0.011963, 0.781274, -0.624775, 0.000000, 1.003204, 0.016358, 0.005860, -0.543962, 0.806421,  --- 1004.110
