ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.054201, -0.105472, 1.032746, -0.002441, 0.781762, -0.615009, 0.171148, 0.998321, 0.020508, -0.002686, -0.534440, 0.816431,  --- 160.727
0.046876, -0.114017, 1.033234, 0.013672, 0.781274, -0.616962, 0.165044, 1.008819, 0.016846, 0.083987, -0.530534, 0.819116,  --- 164.728
0.046876, -0.112064, 1.036164, 0.013916, 0.778832, -0.613056, 0.176763, 0.997589, 0.025391, 0.070315, -0.526383, 0.811792,  --- 168.734
0.056154, -0.109378, 1.033967, 0.011231, 0.781274, -0.617939, 0.169439, 0.999298, 0.017579, 0.082766, -0.546892, 0.823511,  --- 171.726
0.046876, -0.113041, 1.038361, 0.000000, 0.778588, -0.624531, 0.169683, 1.004669, 0.030274, 0.078372, -0.533463, 0.815698,  --- 176.727
0.051515, -0.110599, 1.036408, 0.011963, 0.777123, -0.617206, 0.168950, 1.001007, 0.031983, 0.074709, -0.532975, 0.816919,  --- 181.731
0.031251, -0.112064, 1.028595, 0.000000, 0.782006, -0.624531, 0.156255, 1.001739, 0.031007, 0.083743, -0.537858, 0.828882,  --- 184.725
0.051027, -0.106937, 1.027131, 0.010987, 0.777856, -0.618427, 0.173101, 0.997589, 0.026124, 0.079592, -0.525406, 0.818872,  --- 188.726
0.051027, -0.108402, 1.044465, 0.015870, 0.787377, -0.623310, 0.167974, 1.005157, 0.031007, 0.078372, -0.531754, 0.813745,  --- 192.728
0.031251, -0.109134, 1.031769, 0.000000, 0.780297, -0.614032, 0.156255, 0.999542, 0.024903, 0.085452, -0.535417, 0.823267,  --- 196.727
0.057863, -0.113285, 1.037141, 0.002197, 0.782250, -0.614765, 0.174078, 1.001983, 0.026368, 0.062502, -0.527360, 0.814234,  --- 199.726
0.052980, -0.110843, 1.024201, 0.015870, 0.775170, -0.618671, 0.170659, 1.004913, 0.030518, 0.084964, -0.532243, 0.825464,  --- 203.729
0.046876, -0.107669, 1.026886, 0.013672, 0.775658, -0.617694, 0.156255, 1.002228, 0.020508, 0.078372, -0.542253, 0.816431,  --- 206.727
0.052492, -0.113285, 1.040070, 0.018067, 0.792016, -0.628925, 0.156255, 0.996368, 0.024903, 0.079592, -0.526383, 0.814966,  --- 210.727
0.046876, -0.106693, 1.026886, 0.011231, 0.762718, -0.602801, 0.156255, 0.991485, 0.019776, 0.079836, -0.545182, 0.823999,  --- 213.725
0.046876, -0.117435, 1.042756, 0.012696, 0.782250, -0.633564, 0.175787, 1.013947, 0.031495, 0.078127, -0.525406, 0.823755,  --- 217.729
0.052248, -0.105228, 1.028351, 0.008789, 0.787866, -0.620380, 0.156255, 0.988311, 0.035890, 0.078127, -0.522233, 0.820093,  --- 220.727
0.031251, -0.104739, 1.018830, 0.016602, 0.772973, -0.600848, 0.173589, 0.971709, 0.044679, 0.071047, -0.537126, 0.808862,  --- 224.735
0.062441, -0.117191, 1.047883, 0.012207, 0.795678, -0.635761, 0.013184, 1.033478, 0.015381, 0.085940, -0.527116, 0.821558,  --- 228.728
0.046876, -0.111087, 1.032502, 0.000000, 0.764183, -0.605243, 0.156255, 0.999786, 0.012940, 0.062502, -0.533952, 0.823267,  --- 231.728
0.031251, -0.125004, 1.030549, 0.021241, 0.781274, -0.650166, 0.169927, 0.984405, 0.034181, 0.078372, -0.524918, 0.812280,  --- 236.327
0.062502, -0.106449, 1.025666, 0.000000, 0.768822, -0.589617, 0.162847, 0.008057, 0.007324, 0.082034, -0.542497, 0.823267,  --- 239.726
0.039308, -0.110599, 1.046907, 0.023194, 0.796899, -0.639424, 0.189703, 0.984405, 0.054933, 0.079592, -0.525406, 0.813013,  --- 243.726
0.060305, -0.101321, 1.024933, 0.015625, 0.781274, -0.597430, 0.156255, 1.012482, 0.001709, 0.078127, -0.545915, 0.817163,  --- 247.729
0.036622, -0.116947, 1.022248, 0.020997, 0.783715, -0.643330, 0.171880, 0.977813, 0.047853, 0.080569, -0.527116, 0.817896,  --- 251.728
0.058351, -0.105960, 1.037873, 0.013184, 0.779320, -0.615009, -0.008301, 1.016388, 0.008545, 0.081057, -0.529801, 0.816187,  --- 255.725
0.047853, -0.114017, 1.036896, 0.000000, 0.788598, -0.630146, 0.156255, 0.995147, 0.025636, 0.077883, -0.536637, 0.821558,  --- 259.727
0.052980, -0.109867, 1.037873, 0.019532, 0.777123, -0.615985, 0.156255, 1.012238, 0.019776, 0.077883, -0.522965, 0.807153,  --- 263.726
0.049074, -0.105960, 1.029816, -0.006104, 0.778344, -0.602069, 0.166265, 0.990753, 0.022706, 0.078127, -0.535661, 0.828394,  --- 266.726
0.046876, -0.116947, 1.031037, 0.019044, 0.790307, -0.623310, 0.173101, 1.010529, 0.028809, 0.078127, -0.530045, 0.820337,  --- 270.728
0.053468, -0.107913, 1.030305, 0.000000, 0.772973, -0.618183, 0.156255, 0.999542, 0.014161, 0.074709, -0.534440, 0.813501,  --- 273.727
0.046876, -0.110599, 1.031525, 0.007324, 0.785668, -0.619403, 0.169439, 0.995391, 0.029542, 0.083743, -0.522965, 0.828638,  --- 277.727
