ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
-0.004151, -0.187017, 1.022736,  --- 272.000
-0.001709, -0.186773, 1.016876,  --- 274.000
-0.015625, -0.193609, 1.014679,  --- 275.998
-0.010010, -0.189459, 1.025666,  --- 277.999
-0.004395, -0.189215, 1.018585,  --- 280.002
-0.004395, -0.185552, 1.024201,  --- 282.000
-0.002930, -0.191168, -0.002930,  --- 283.998
-0.015625, -0.186285, 1.021271,  --- 286.001
-0.015625, -0.188726, 1.012726,  --- 287.999
-0.015625, -0.186529, 1.018830,  --- 289.999
-0.015625, -0.190191, 1.026154,  --- 291.999
-0.007813, -0.186773, 1.020294,  --- 295.001
-0.005860, -0.188482, 1.021027,  --- 296.999
-0.015625, -0.194098, 1.020539,  --- 298.999
-0.007569, -0.191900, 1.026886,  --- 300.998
-0.007080, -0.189459, 1.029572,  --- 302.999
-0.015625, -0.186773, 1.021027,  --- 304.999
-0.015625, -0.193121, 1.022980,  --- 306.999
-0.007324, -0.188238, 1.019074,  --- 307.999
-0.015625, -0.191168, 1.020783,  --- 311.000
-0.005860, -0.195318, 1.015900,  --- 312.998
-0.000061, -0.194098, 1.019806,  --- 313.999
-0.015625, -0.190435, 1.017365,  --- 316.003
-0.003418, -0.191412, 1.020539,  --- 317.999
-0.015625, -0.194342, 1.022004,  --- 319.999
-0.015625, -0.196051, 1.020783,  --- 322.000
-0.015625, -0.195074, 1.018830,  --- 323.999
-0.015625, -0.191900, 1.028351,  --- 325.999
-0.015625, -0.198492, 1.020539,  --- 328.001
-0.015625, -0.194830, 1.025422,  --- 330.000
-0.005127, -0.194830, 1.024689,  --- 332.000
-0.005371, -0.194342, 1.022248,  --- 334.001
-0.007080, -0.191168, 1.019806,  --- 336.000
-0.003906, -0.195074, 1.015656,  --- 337.000
-0.007569, -0.193609, 1.015167,  --- 340.003
-0.007813, -0.197760, 1.016876,  --- 342.003
-0.015625, -0.196295, 1.021515,  --- 344.003
-0.015625, -0.190435, 1.026398,  --- 346.001
-0.015625, -0.190191, 1.018097,  --- 349.000
-0.015625, -0.192633, 1.017609,  --- 350.999
-0.015625, -0.190680, 1.012482,  --- 353.003
-0.015625, -0.187994, 1.026154,  --- 355.000
-0.015625, -0.190680, 1.020294,  --- 356.999
-0.003662, -0.191656, 1.010773,  --- 359.001
-0.008545, -0.190680, 1.014435,  --- 360.999
-0.008057, -0.191412, 1.020539,  --- 362.998
-0.015625, -0.189947, 1.020050,  --- 365.001
-0.015625, -0.194098, -0.003418,  --- 367.000
-0.015625, -0.189947, 1.014679,  --- 368.999
-0.006592, -0.193365, 1.016632,  --- 371.000
-0.015625, -0.191412, 1.011261,  --- 373.000
-0.011719, -0.191900, 1.023957,  --- 374.999
-0.007569, -0.191656, 1.020050,  --- 377.002
-0.015625, -0.188726, 1.020050,  --- 379.000
-0.007324, -0.189215, 1.023224,  --- 379.999
-0.008057, -0.190435, 1.021515,  --- 381.999
-0.004395, -0.190680, 1.012970,  --- 384.999
-0.015625, -0.184332, 1.026398,  --- 387.000
-0.015625, -0.184332, 1.025177,  --- 389.002
-0.015625, -0.188971, 1.011261,  --- 390.999
-0.010010, -0.187994, 1.012970,  --- 392.000
-0.005615, -0.181646, 1.022736,  --- 395.005
-0.015625, -0.184332, 1.022248,  --- 398.000
-0.015625, -0.189459, 1.022980,  --- 400.001
-0.007569, -0.185064, 1.020783,  --- 403.002
-0.015625, -0.190924, 1.023713,  --- 405.002
-0.015625, -0.188726, 1.021027,  --- 408.003
-0.003174, -0.182867, 1.021027,  --- 410.001
-0.015625, -0.187262, 1.024445,  --- 413.005
-0.003662, -0.187994, 1.024445,  --- 416.000
-0.007813, -0.189947, 1.019562,  --- 417.999
-0.015625, -0.002686, 1.016388,  --- 421.000
-0.008545, -0.186285, 1.016876,  --- 423.000
-0.015625, -0.185064, 1.019806,  --- 425.001
-0.002930, -0.189947, 1.017120,  --- 427.001
-0.005615, -0.190191, 1.022004,  --- 429.000
-0.015625, -0.193121, 1.020539,  --- 432.001
-0.015625, -0.192877, 1.022980,  --- 435.000
-0.015625, -0.190924, 1.022004,  --- 437.002
-0.015625, -0.190191, 1.025422,  --- 440.000
-0.006104, -0.194830, 1.017609,  --- 441.999
-0.015625, -0.192633, 1.023224,  --- 445.000
-0.004883, -0.190924, 1.022248,  --- 446.999
-0.015625, -0.192633, 1.021759,  --- 449.000
-0.015625, -0.194586, 1.023957,  --- 451.999
-0.004395, -0.188726, 1.022492,  --- 453.999
-0.009766, -0.192389, 1.022248,  --- 456.003
-0.003662, -0.191656, 1.018097,  --- 457.999
-0.015625, -0.188238, 1.025177,  --- 459.000
-0.015625, -0.190924, 1.020539,  --- 462.001
-0.005127, -0.191168, 1.026154,  --- 463.999
-0.015625, -0.193853, 1.019806,  --- 465.999
-0.015625, -0.003662, 1.022492,  --- 468.000
-0.001709, -0.191900, 1.018585,  --- 469.999
-0.006348, -0.192877, 1.019562,  --- 471.999
-0.015625, -0.189947, 1.014679,  --- 474.001
-0.015625, -0.192877, 1.021515,  --- 475.999
-0.007569, -0.193609, 1.013458,  --- 477.999
-0.015625, -0.193853, 1.025177,  --- 480.001
-0.015625, -0.193609, 1.014191,  --- 481.999
-0.006836, -0.188482, 1.017120,  --- 483.999
-0.015625, -0.193365, 1.025910,  --- 486.000
-0.015625, -0.187262, 1.029084,  --- 488.000
-0.009522, -0.187750, 1.026398,  --- 489.999
-0.005860, -0.194342, 1.014191,  --- 492.001
-0.015625, -0.191656, 1.025422,  --- 493.999
-0.015625, -0.189215, 1.022980,  --- 495.999
-0.015625, -0.194098, 1.017609,  --- 498.000
-0.015625, -0.191168, 1.015900,  --- 500.000
-0.002686, -0.190191, 1.020539,  --- 501.999
-0.015625, -0.192389, 1.025177,  --- 504.002
-0.015625, -0.001221, 1.020783,  --- 506.000
-0.009766, -0.188971, 1.025422,  --- 508.000
-0.015625, -0.189703, 1.015411,  --- 510.005
-0.015625, -0.190435, 1.016144,  --- 512.000
-0.015625, -0.186285, 1.013702,  --- 513.999
-0.015625, -0.184332, 1.021027,  --- 514.999
-0.011719, -0.190924, 1.017609,  --- 517.003
-0.015625, -0.190680, 1.020294,  --- 518.999
-0.009278, -0.191656, 1.023713,  --- 521.001
