accx;accy;accz;time
528;232;15876;58920
528;232;15876;59092
528;232;15876;59272
476;308;15896;59444
476;308;15896;59616
476;308;15896;59788
476;308;15896;59960
476;308;15896;60132
476;308;15896;60312
452;296;15848;60484
452;296;15848;60656
452;296;15848;60828
452;296;15848;61000
452;296;15848;61172
452;296;15848;61348
492;248;15820;61524
492;248;15820;61696
492;248;15820;61868
492;248;15820;62040
492;248;15820;62212
492;248;15820;62388
484;260;15872;62560
484;260;15872;62732
484;260;15872;62904
484;260;15872;63076
484;260;15872;63252
484;260;15872;63428
480;260;15912;63600
480;260;15912;63772
480;260;15912;63944
480;260;15912;64116
480;260;15912;64288
504;268;15916;64468
504;268;15916;64640
504;268;15916;64812
504;268;15916;64984
504;268;15916;65156
504;268;15916;65328
504;276;15860;65508
504;276;15860;144
504;276;15860;316
504;276;15860;488
504;276;15860;660
504;276;15860;832
516;264;15872;1008
516;264;15872;1180
516;264;15872;1352
516;264;15872;1528
516;264;15872;1700
516;264;15872;1872
536;252;15876;2048
536;252;15876;2220
536;252;15876;2392
536;252;15876;2564
536;252;15876;2736
564;244;15792;2908
564;244;15792;3088
564;244;15792;3260
564;244;15792;3432
564;244;15792;3604
564;244;15792;3776
504;232;15788;3948
504;232;15788;4128
504;232;15788;4300
504;232;15788;4472
504;232;15788;4644
504;232;15788;4816
488;284;15712;4988
488;284;15712;5168
488;284;15712;5340
488;284;15712;5512
488;284;15712;5684
488;284;15712;5856
532;316;15672;6032
532;316;15672;6204
532;316;15672;6376
532;316;15672;6548
532;316;15672;6724
532;316;15672;6896
524;272;15812;7072
524;272;15812;7244
524;272;15812;7416
524;272;15812;7588
524;272;15812;7760
500;240;15896;7932
500;240;15896;8112
500;240;15896;8284
500;240;15896;8456
500;240;15896;8628
500;240;15896;8800
472;240;15868;8972
472;240;15868;9152
472;240;15868;9324
472;240;15868;9496
472;240;15868;9668
472;240;15868;9840
504;288;15900;10012
504;288;15900;10192
504;288;15900;10364
504;288;15900;10536
504;288;15900;10708
504;288;15900;10880
548;348;15860;11052
548;348;15860;11228
548;348;15860;11400
548;348;15860;11572
548;348;15860;11744
552;328;15828;11920
552;328;15828;12092
552;328;15828;12268
552;328;15828;12440
552;328;15828;12612
552;328;15828;12784
488;280;15932;12956
488;280;15932;13128
488;280;15932;13308
488;280;15932;13480
488;280;15932;13652
488;280;15932;13824
456;268;15900;13996
456;268;15900;14168
456;268;15900;14348
456;268;15900;14520
456;268;15900;14692
456;268;15900;14864
452;304;15848;15036
452;304;15848;15208
452;304;15848;15388
452;304;15848;15560
452;304;15848;15732
424;300;15804;15904
424;300;15804;16076
424;300;15804;16248
424;300;15804;16424
424;300;15804;16596
424;300;15804;16768
448;232;15768;16940
448;232;15768;17112
448;232;15768;17292
448;232;15768;17464
448;232;15768;17636
448;232;15768;17808
492;256;15804;17980
492;256;15804;18152
492;256;15804;18332
492;256;15804;18504
492;256;15804;18676
492;256;15804;18848
536;308;15860;19020
536;308;15860;19192
536;308;15860;19372
536;308;15860;19544
536;308;15860;19716
536;308;15860;19888
524;276;15920;20060
524;276;15920;20232
524;276;15920;20408
524;276;15920;20580
524;276;15920;20756
476;248;15864;20928
476;248;15864;21100
476;248;15864;21272
476;248;15864;21448
476;248;15864;21620
476;248;15864;21792
480;236;15824;21964
480;236;15824;22136
480;236;15824;22308
480;236;15824;22488
480;236;15824;22660
480;236;15824;22832
504;252;15892;23004
504;252;15892;23176
504;252;15892;23348
504;252;15892;23528
504;252;15892;23700
504;252;15892;23872
480;280;15960;24044
480;280;15960;24216
480;280;15960;24388
480;280;15960;24568
480;280;15960;24740
460;308;15868;24912
460;308;15868;25084
460;308;15868;25256
460;308;15868;25428
460;308;15868;25604
460;308;15868;25776
508;268;15800;25952
508;268;15800;26124
508;268;15800;26296
508;268;15800;26468
508;268;15800;26644
508;268;15800;26816
516;236;15828;26988
516;236;15828;27160
516;236;15828;27332
516;236;15828;27504
516;236;15828;27684
516;236;15828;27856
520;272;15840;28028
520;272;15840;28200
520;272;15840;28372
520;272;15840;28552
520;272;15840;28724
552;252;15848;28896
552;252;15848;29068
552;252;15848;29240
552;252;15848;29412
552;252;15848;29592
552;252;15848;29764
524;252;15816;29936
524;252;15816;30108
524;252;15816;30280
524;252;15816;30452
524;252;15816;30628
524;252;15816;30800
492;276;15852;30976
492;276;15852;31148
492;276;15852;31320
492;276;15852;31492
492;276;15852;31668
492;276;15852;31840
528;256;15888;32012
528;256;15888;32184
528;256;15888;32356
528;256;15888;32528
528;256;15888;32708
528;256;15888;32880
564;272;15816;33052
564;272;15816;33224
564;272;15816;33396
564;272;15816;33568
564;272;15816;33748
540;316;15840;33920
540;316;15840;34092
540;316;15840;34264
540;316;15840;34436
540;316;15840;34608
540;316;15840;34788
544;308;15992;34960
544;308;15992;35132
544;308;15992;35304
544;308;15992;35476
544;308;15992;35648
544;308;15992;35824
552;308;16040;35996
552;308;16040;36172
552;308;16040;36344
552;308;16040;36516
552;308;16040;36688
552;308;16040;36864
512;304;15960;37036
512;304;15960;37208
512;304;15960;37380
512;304;15960;37552
512;304;15960;37724
496;296;15908;37904
496;296;15908;38076
496;296;15908;38248
496;296;15908;38420
496;296;15908;38592
496;296;15908;38764
488;264;15856;38944
488;264;15856;39116
488;264;15856;39288
488;264;15856;39460
488;264;15856;39632
488;264;15856;39804
504;252;15832;39984
504;252;15832;40156
504;252;15832;40328
504;252;15832;40500
504;252;15832;40672
504;252;15832;40848
504;252;15876;41020
504;252;15876;41192
504;252;15876;41368
504;252;15876;41540
504;252;15876;41712
500;232;15912;41888
500;232;15912;42060
500;232;15912;42232
500;232;15912;42404
500;232;15912;42576
500;232;15912;42748
516;248;15888;42928
516;248;15888;43100
516;248;15888;43272
516;248;15888;43444
516;248;15888;43616
516;248;15888;43788
516;220;15852;43968
516;220;15852;44140
516;220;15852;44312
516;220;15852;44484
516;220;15852;44656
516;220;15852;44828
524;160;15824;45008
524;160;15824;45180
524;160;15824;45352
524;160;15824;45524
524;160;15824;45696
540;160;15832;45868
540;160;15832;46044
540;160;15832;46216
540;160;15832;46388
540;160;15832;46560
540;160;15832;46736
552;244;15820;46908
552;244;15820;47084
552;244;15820;47256
552;244;15820;47428
552;244;15820;47600
552;244;15820;47772
536;332;15876;47944
536;332;15876;48124
536;332;15876;48296
536;332;15876;48468
536;332;15876;48640
536;332;15876;48812
524;312;15916;48984
524;312;15916;49164
524;312;15916;49336
524;312;15916;49508
524;312;15916;49680
524;312;15916;49852
544;304;15840;50024
544;304;15840;50204
544;304;15840;50376
544;304;15840;50548
544;304;15840;50720
488;340;15812;50892
488;340;15812;51064
488;340;15812;51240
488;340;15812;51412
488;340;15812;51584
488;340;15812;51756
448;328;15784;51932
448;328;15784;52108
448;328;15784;52280
448;328;15784;52452
448;328;15784;52624
448;328;15784;52796
480;300;15736;52968
480;300;15736;53148
480;300;15736;53320
480;300;15736;53492
480;300;15736;53664
480;300;15736;53836
488;280;15700;54008
488;280;15700;54188
488;280;15700;54360
488;280;15700;54532
488;280;15700;54704
532;284;15760;54876
532;284;15760;55048
532;284;15760;55224
532;284;15760;55400
532;284;15760;55572
532;284;15760;55744
512;316;15792;55916
512;316;15792;56088
512;316;15792;56264
512;316;15792;56436
512;316;15792;56608
512;316;15792;56780
496;324;15776;56952
496;324;15776;57128
496;324;15776;57304
496;324;15776;57476
496;324;15776;57648
496;324;15776;57820
468;228;15820;57992
468;228;15820;58164
468;228;15820;58344
468;228;15820;58516
468;228;15820;58688
468;228;15820;58860
432;232;15808;59032
432;232;15808;59204
432;232;15808;59384
432;232;15808;59556
432;232;15808;59728
456;312;15832;59900
456;312;15832;60072
456;312;15832;60244
456;312;15832;60420
456;312;15832;60596
456;312;15832;60768
464;324;15848;60940
464;324;15848;61112
464;324;15848;61284
464;324;15848;61460
464;324;15848;61632
464;324;15848;61804
492;292;15844;61976
492;292;15844;62148
492;292;15844;62320
492;292;15844;62500
492;292;15844;62672
492;292;15844;62844
516;256;15904;63016
516;256;15904;63188
516;256;15904;63368
516;256;15904;63540
516;256;15904;63712
464;264;15828;63884
464;264;15828;64056
464;264;15828;64228
464;264;15828;64408
464;264;15828;64580
464;264;15828;64752
428;260;15836;64924
